Countries,iso_alpha3,Life Expectancy,Male,Female,Sex gap,GDP per capita (US$),Population,European Union
Andorra,AND,84.04,82.1,86.11,4.01,46544.72072,80088.0,Other
Switzerland,CHE,83.95,82.01,85.83,3.82,99994.93802,8849852.0,Other
Italy,ITA,83.72,81.57,85.75,4.18,38373.16605,58761146.0,Union
Spain,ESP,83.67,80.96,86.31,5.35,32676.98371,48373336.0,Union
France,FRA,83.33,80.43,86.09,5.66,44460.81785,68170228.0,Union
Norway,NOR,83.31,81.75,84.85,3.1,87961.78061,5519594.0,Other
Malta,MLT,83.3,81.27,85.26,3.99,37882.26519,553214.0,Union
Sweden,SWE,83.26,81.44,85.1,3.66,56305.2502,10536632.0,Union
Iceland,ISL,82.69,80.98,84.51,3.52,78811.05839,393600.0,Other
Ireland,IRL,82.41,80.37,84.48,4.11,103684.8808,5262382.0,Union
Portugal,PRT,82.36,79.44,85.12,5.68,27275.11155,10525347.0,Union
Luxembourg,LUX,82.23,80.57,83.84,3.27,128259.4026,668606.0,Union
Netherlands,NLD,82.16,80.54,83.74,3.2,62536.73203,17879488.0,Union
Belgium,BEL,82.11,79.86,84.33,4.47,53475.2935,11822592.0,Union
Austria,AUT,81.96,79.54,84.32,4.78,56505.96828,9132383.0,Union
Denmark,DNK,81.93,80.02,83.86,3.84,67967.38187,5946952.0,Union
Finland,FIN,81.91,79.17,84.67,5.5,53755.91174,5584264.0,Union
Greece,GRC,81.86,79.29,84.33,5.04,22990.01357,10361295.0,Union
Cyprus,CYP,81.65,79.64,83.67,4.03,34701.44141,1260138.0,Union
Slovenia,SVN,81.6,78.9,84.34,5.44,32163.51142,2120937.0,Union
Germany,DEU,81.38,79.02,83.76,4.74,52745.75571,84482267.0,Union
United Kingdom,GBR,81.3,79.36,83.21,3.85,48866.60396,68350000.0,Other
Faroe Islands,FRO,80.18,78.17,82.5,4.33,66979.27732,53270.0,Other
Czechia,CZE,79.83,77.0,82.64,5.64,30427.42347,10873689.0,Union
Albania,ALB,79.6,77.73,81.45,3.72,8367.775731,2745972.0,Other
Estonia,EST,79.15,74.9,83.04,8.14,29823.74961,1366188.0,Union
Poland,POL,78.63,74.88,82.35,7.48,22112.86157,36685849.0,Union
Croatia,HRV,78.58,75.41,81.69,6.28,21459.78478,3853200.0,Union
Slovakia,SVK,78.34,75.02,81.58,6.56,24470.23854,5426740.0,Union
Bosnia and Herzegovina,BIH,77.85,74.42,80.9,6.48,8426.09111,3210847.0,Other
North Macedonia,MKD,77.39,75.11,79.57,4.46,8146.467975,1811980.0,Other
Montenegro,MNE,77.09,73.73,80.31,6.58,12016.90742,616177.0,Other
Hungary,HUN,77.02,73.71,80.19,6.48,22147.20973,9589872.0,Union
Serbia,SRB,76.77,73.5,80.04,6.54,11360.95951,6618026.0,Other
Latvia,LVA,76.19,71.56,80.47,8.91,23184.31167,1881750.0,Union
Lithuania,LTU,76.03,71.22,80.67,9.46,27102.78153,2871897.0,Union
Romania,ROU,75.94,72.4,79.56,7.16,18419.41871,19056116.0,Union
Bulgaria,BGR,75.64,72.16,79.21,7.05,15797.59558,6430370.0,Union
Belarus,BLR,74.43,69.53,79.06,9.53,7829.053137,9178298.0,Other
